runID,datetime,no_robots,light_generation_chance,formation,time_passed,timestep
0,15-04-2023 14:59:50,10,0.001,1,71072,32
1,15-04-2023 14:59:58,10,0.001,2,99328,32
2,15-04-2023 15:00:08,10,0.001,3,39296,32
3,15-04-2023 15:00:13,10,0.001,4,115296,32
4,15-04-2023 15:00:27,10,0.001,5,49856,32
5,15-04-2023 15:00:33,10,0.001,6,75264,32
6,15-04-2023 15:00:41,10,0.001,7,207712,32
7,15-04-2023 15:01:03,10,0.005,1,93408,32
8,15-04-2023 15:01:51,10,0.001,1,71040,32
9,15-04-2023 15:01:59,10,0.001,2,86208,32
10,15-04-2023 15:02:08,10,0.001,3,43040,32
11,15-04-2023 15:02:13,10,0.001,4,120896,32
12,15-04-2023 15:02:26,10,0.001,5,53056,32
13,15-04-2023 15:02:32,10,0.001,6,94912,32
14,15-04-2023 15:02:41,10,0.001,7,166752,32
15,15-04-2023 15:04:47,10,0.001,1,70240,32
16,15-04-2023 15:04:55,10,0.001,2,96608,32
17,15-04-2023 15:05:04,10,0.001,3,49696,32
18,15-04-2023 20:08:52,10,0.001,1,70592,32
19,15-04-2023 20:09:05,10,0.001,2,99328,32
20,15-04-2023 20:09:19,10,0.001,3,24448,32
21,15-04-2023 20:09:29,10,0.001,4,118304,32
22,15-04-2023 20:09:45,10,0.001,5,67200,32
23,15-04-2023 20:09:57,10,0.001,6,97664,32
24,15-04-2023 20:10:11,10,0.001,7,112000,32
25,15-04-2023 20:10:27,10,0.005,1,94432,32
26,15-04-2023 20:10:45,10,0.005,2,600032,32
27,15-04-2023 20:12:24,10,0.005,3,21664,32
28,15-04-2023 20:12:33,10,0.005,4,600032,32
29,15-04-2023 20:14:19,10,0.005,5,600032,32
30,15-04-2023 20:16:12,10,0.005,6,85024,32
31,15-04-2023 20:16:27,10,0.005,7,600032,32
32,15-04-2023 20:17:56,10,0.01,1,600032,32
33,15-04-2023 20:19:29,10,0.01,2,600032,32
34,15-04-2023 20:21:08,10,0.01,3,600032,32
35,15-04-2023 20:22:48,10,0.01,4,600032,32
36,15-04-2023 20:24:33,10,0.01,5,600032,32
37,15-04-2023 20:26:47,10,0.01,6,600032,32
38,15-04-2023 20:28:25,10,0.01,7,600032,32
